epoch,loss,accuracy,val_loss,val_accuracy,sparse_categorical_crossentropy
1,2.856308250427246,0.11375,2.8205953571531506,0.097222224,2.4125125
2,2.726455488204956,0.11375,2.692032297452291,0.10243055,2.321458
3,2.6803746891021727,0.1,2.6636993885040283,0.10069445,2.305686
4,2.6520981884002683,0.08875,2.638760765393575,0.098958336,2.3035822
5,2.6271716594696044,0.115,2.6163085963990955,0.098958336,2.3025281
6,2.6000489139556886,0.12,2.6314913166893854,0.098958336,2.2971835
7,2.59405234336853,0.09375,2.5829493469662137,0.10069445,2.309659
8,2.572174835205078,0.1175,2.5638841655519276,0.10243055,2.3046398
9,2.559195899963379,0.0975,2.546354134877523,0.098958336,2.3077335
10,2.541147508621216,0.10625,2.533516181839837,0.098958336,2.3047402
11,2.5302688121795653,0.09875,2.5186593532562256,0.10243055,2.3076906
12,2.5130278301239013,0.08625,2.5062772697872586,0.097222224,2.30332
13,2.503925428390503,0.0975,2.4949593676461115,0.104166664,2.3061385
14,2.4895443439483644,0.09125,2.483602457576328,0.125,2.3027413
15,2.4806246089935304,0.11375,2.4808175961176553,0.09548611,2.3037736
16,2.4811663246154785,0.11,2.4803381628460355,0.098958336,2.311124
17,2.4667566204071045,0.11,2.4778517617119684,0.104166664,2.3022804
18,2.466678409576416,0.09625,2.4562524954477944,0.098958336,2.3100195
19,2.4555923080444337,0.09,2.450720124774509,0.10243055,2.3065875
20,2.4487796020507813,0.1,2.4418492052290173,0.10243055,2.3072367
21,2.443318328857422,0.09625,2.432808690600925,0.098958336,2.308707
22,2.4329668712615966,0.095,2.4240758816401162,0.15104167,2.3048449
23,2.417590856552124,0.11,2.4178859525256686,0.13194445,2.2952714
24,2.407302303314209,0.11625,2.3955226209428577,0.13541667,2.2894435
25,2.4081747055053713,0.13125,2.397283580568102,0.13541667,2.2942557
26,2.376254472732544,0.13,2.424889736705356,0.104166664,2.2654154
27,2.362764663696289,0.12,2.3838711182276406,0.112847224,2.2546856
28,2.3816665267944335,0.10875,2.33611700269911,0.16840278,2.2779145
29,2.3062805366516113,0.1625,2.277204818195767,0.1736111,2.2063627
30,2.3074032497406005,0.1425,2.306066804462009,0.13368055,2.2095344
31,2.3176351737976075,0.1475,2.2935352855258517,0.1423611,2.2209172
32,2.2776098346710203,0.165,2.2841819392310247,0.14930555,2.1823516
33,2.3436678981781007,0.1475,2.277453806665209,0.171875,2.2536151
34,2.2834148693084715,0.1725,2.2592717938952975,0.1875,2.1979952
35,2.248706455230713,0.20375,2.285748150613573,0.1701389,2.1661744
36,2.355377645492554,0.145,2.3134930398729114,0.18055555,2.2756662
37,2.272567892074585,0.165,2.1996459828482733,0.1892361,2.1961672
38,2.2325054931640627,0.15375,2.1804615921444364,0.16319445,2.157931
39,2.2197964668273924,0.1725,2.2135565479596457,0.16493055,2.1479616
40,2.2275426626205443,0.1925,2.2559256884786816,0.171875,2.1580663
41,2.2018608474731445,0.195,2.1534200575616627,0.2048611,2.134653
42,2.1671910095214844,0.19,2.156356586350335,0.19444445,2.102307
43,2.2032977104187013,0.17375,2.3840573496288724,0.13368055,2.139632
44,2.25681640625,0.1675,2.1984779834747314,0.2048611,2.1944609
45,2.1680324840545655,0.21875,2.127410199907091,0.19965278,2.1071782
46,2.2133065557479856,0.19625,2.14462509420183,0.23784722,2.1543276
47,2.1360827016830446,0.225,2.0931125614378185,0.26041666,2.0779672
48,2.1424593925476074,0.22625,2.074482195907169,0.21875,2.0854163
49,2.117176718711853,0.2225,2.0854328208499484,0.27256945,2.0610502
50,2.090100631713867,0.24,2.032687372631497,0.27430555,2.0343835
51,2.0177254009246828,0.245,2.0521615743637085,0.2673611,1.9624703
52,2.091608076095581,0.22125,1.965371800793542,0.30555555,2.0354912
53,2.085379858016968,0.23625,1.9536030689875286,0.3003472,2.0301647
54,2.0074040031433107,0.2875,1.9923906458748712,0.2795139,1.9509131
55,2.1051574468612673,0.2475,2.2445676061842175,0.2204861,2.0292585
56,2.0183464670181275,0.27125,1.9305016928248935,0.265625,1.9385549
57,1.9901643753051759,0.29125,1.9325130184491475,0.30381945,1.9148271
58,2.032580008506775,0.2825,2.515492902861701,0.1388889,1.9578155
59,2.1059330701828003,0.24,1.919771307044559,0.31944445,2.032223
60,2.038354210853577,0.2775,1.9257173140843709,0.3107639,1.9673315
61,1.926924810409546,0.29375,1.8221529324849446,0.3090278,1.8581027
62,1.907345051765442,0.3025,1.8742067019144695,0.2829861,1.839199
63,2.0007374048233033,0.28875,1.8519550959269206,0.34375,1.9332923
64,1.9313428544998168,0.29875,1.9204544027646382,0.28993055,1.8650947
65,1.8781162881851197,0.335,1.9075432750913832,0.30555555,1.8135318
66,1.9651915121078491,0.29875,1.845556875069936,0.3125,1.9014243
67,1.9553534603118896,0.3025,1.779148326979743,0.3472222,1.8923233
68,1.8918595695495606,0.3225,1.788349211215973,0.3576389,1.8294276
69,1.83771746635437,0.33375,1.7351926167805989,0.328125,1.7753808
70,1.88141872882843,0.31,1.7393953733974032,0.3576389,1.8189832
71,1.768477725982666,0.35875,1.7320362991756864,0.33854166,1.7045598
72,1.806393027305603,0.33875,1.7034285465876262,0.3784722,1.7411457
73,1.790997805595398,0.34875,1.684215201271905,0.35243055,1.7262828
74,1.7526057481765747,0.37875,1.691998177104526,0.36805555,1.6890397
75,1.8767588281631469,0.3275,1.7981730434629652,0.3611111,1.8136476
76,1.9153300762176513,0.30375,1.7708968785074022,0.328125,1.8493011
77,1.8497974729537965,0.34875,1.7264330916934543,0.35416666,1.7844179
78,1.764407343864441,0.35,1.6674210362964206,0.3923611,1.7002214
79,1.7664239645004272,0.35375,1.7381631798214383,0.3472222,1.7034968
80,1.7911272764205932,0.35,1.7006723417176142,0.390625,1.7292752
81,1.7415770959854127,0.355,1.6140023734834459,0.390625,1.679989
82,1.7002923154830933,0.37,1.7012415130933125,0.359375,1.6385088
83,1.7735738849639893,0.33375,1.6939415136973064,0.3628472,1.7123233
84,1.757281231880188,0.3475,1.6813142432106867,0.38194445,1.6970979
85,1.6391765451431275,0.40875,1.5968416002061632,0.40104166,1.5790972
86,1.6659913921356202,0.39375,1.5641611682044134,0.43229166,1.6061931
87,1.6951014947891236,0.39875,1.7963809304767184,0.3576389,1.6354178
88,1.7660448217391969,0.35,1.7437634070714314,0.3472222,1.7056099
89,1.6455561637878418,0.415,1.6623398860295613,0.38020834,1.5847408
90,1.7075373649597168,0.37125,1.5874897440274556,0.421875,1.6472379
91,1.6630979585647583,0.41125,1.6652182870441012,0.40104166,1.6030016
92,1.6263981723785401,0.39875,1.533380601141188,0.4253472,1.5659827
93,1.5662759685516356,0.4225,1.6377201080322266,0.40625,1.5056992
94,1.6211765336990356,0.4275,1.6241770055558946,0.3923611,1.5604846
95,1.6996650314331054,0.3825,1.6129224167929754,0.4079861,1.6387631
96,1.6118991374969482,0.42375,1.6472085581885443,0.36458334,1.5510983
