epoch,loss,accuracy,val_loss,val_accuracy,sparse_categorical_crossentropy
1,5.486599178314209,0.1075,4.639384693569607,0.10069445,2.5630863
2,4.232499227523804,0.08625,3.8621387349234686,0.097222224,2.4460213
3,3.696656446456909,0.1025,3.4962157805760703,0.10069445,2.389458
4,3.4456766700744628,0.135,3.360701229837206,0.10069445,2.3899822
5,3.307587661743164,0.10375,3.1281065543492637,0.14583333,2.4131935
6,3.119375991821289,0.115,3.1386011044184365,0.13715278,2.3285422
7,3.0406143951416014,0.145,3.03624251153734,0.10069445,2.3263516
8,2.944453659057617,0.13,2.8789798816045127,0.109375,2.3023484
9,2.914669780731201,0.12375,2.798528167936537,0.15104167,2.3212883
10,2.7962959384918213,0.135,2.7384320894877114,0.11631945,2.2464294
11,2.6783907127380373,0.17875,2.7070408264795938,0.140625,2.1743762
12,2.6332511138916015,0.17,2.5816049443350897,0.171875,2.1677685
13,2.600744390487671,0.1625,2.8260093927383423,0.140625,2.171387
14,2.5537277698516845,0.1725,2.4957669576009116,0.1736111,2.1546226
15,2.5079174137115476,0.19,2.447302566634284,0.2170139,2.1299326
16,2.5465677547454835,0.16875,2.4588738679885864,0.2013889,2.1900663
17,2.470604114532471,0.19875,2.4624591800901623,0.2048611,2.136233
18,2.440629596710205,0.19875,2.342247393396166,0.22569445,2.1334152
19,2.399717273712158,0.19125,2.339700566397773,0.19444445,2.111762
20,2.3687108325958253,0.2175,2.332133491834005,0.22222222,2.0869608
21,2.283642654418945,0.25375,2.226039237446255,0.2673611,2.019142
22,2.2590121173858644,0.25125,2.2906559573279486,0.22395833,2.004585
23,2.3271966218948363,0.195,2.3030522664388022,0.19791667,2.076977
24,2.341229963302612,0.23,2.2213857571283975,0.2534722,2.0952713
25,2.234382543563843,0.2375,2.169167068269518,0.2534722,1.9914064
26,2.171970262527466,0.27375,2.1794039805730185,0.27083334,1.9395233
27,2.2987922859191894,0.24625,2.146155105696784,0.2777778,2.070417
28,2.1786046171188356,0.28,2.1602168348100452,0.2690972,1.9531951
29,2.1548709583282473,0.27375,2.0730657312605114,0.296875,1.9341916
30,2.215584774017334,0.25625,2.1736423306994967,0.25694445,1.99148
